word,rating,count
disappointed,4.321,196
excited,4.321,53
gotten,4.321,53
help,4.321,131
birthday,4.32,241
working,4.32,75
table,4.318,198
check,4.316,133
forward,4.316,38
tasting,4.316,57
deal,4.314,102
bigger,4.311,61
dining,4.311,61
guess,4.311,106
helping,4.311,45
walked,4.311,90
heavy,4.31,42
saw,4.31,87
special,4.31,158
tables,4.31,71
portion,4.308,39
treat,4.308,120
short,4.307,101
lettuce,4.3,40
number,4.299,97
cool,4.297,37
use,4.297,74
mention,4.296,71
11,4.294,34
advance,4.294,34
half,4.29,186
break,4.289,38
mean,4.288,111
bf,4.286,42
cheesy,4.286,56
husband,4.286,77
review,4.286,276
tell,4.286,168
service,4.285,797
left,4.284,201
person,4.284,148
traffic,4.283,46
20,4.282,170
step,4.282,39
doesn,4.281,192
min,4.278,36
kinda,4.277,65
morning,4.275,138
yesterday,4.275,40
sides,4.273,44
plate,4.272,92
hand,4.271,59
heard,4.27,137
hear,4.268,56
went,4.266,448
average,4.265,49
catering,4.265,49
aren,4.26,77
arrived,4.26,50
dressing,4.259,54
finally,4.259,185
rice,4.259,54
regular,4.253,99
thought,4.253,198
look,4.252,270
ordered,4.252,682
expecting,4.25,44
finish,4.25,36
decided,4.248,133
month,4.244,45
past,4.244,82
better,4.243,485
hearing,4.243,37
pick,4.242,289
mom,4.241,87
salad,4.241,162
gone,4.239,67
baby,4.238,42
soup,4.237,76
second,4.236,110
forever,4.235,51
drove,4.233,43
missing,4.232,69
forgot,4.231,39
isn,4.231,147
willing,4.231,39
cake,4.226,1462
talking,4.226,62
having,4.224,147
said,4.223,354
star,4.218,170
overly,4.217,46
exactly,4.214,42
im,4.214,42
write,4.214,70
simple,4.211,90
store,4.21,167
return,4.209,67
didn,4.204,460
needs,4.204,54
machine,4.2,40
saturday,4.2,65
stick,4.2,40
unless,4.2,45
dont,4.197,61
business,4.189,122
stars,4.189,355
fine,4.188,48
crust,4.187,91
obviously,4.186,43
miles,4.184,38
did,4.183,327
decent,4.182,99
okay,4.182,170
says,4.182,55
30,4.181,149
looked,4.18,122
40,4.179,39
noticed,4.179,39
experience,4.178,213
longer,4.177,62
counter,4.174,195
fact,4.173,98
waiting,4.171,287
available,4.169,71
luck,4.167,36
saying,4.167,72
rest,4.158,57
twice,4.155,71
order,4.154,1275
office,4.152,66
pieces,4.152,33
took,4.152,231
change,4.15,40
sort,4.149,67
used,4.149,134
maybe,4.144,181
making,4.141,85
style,4.141,71
completely,4.137,51
ask,4.134,142
cut,4.132,38
hope,4.129,70
wasn,4.129,295
late,4.12,50
picked,4.117,60
servers,4.111,45
wanted,4.106,218
eye,4.105,38
orders,4.104,182
15,4.1,140
sad,4.1,50
today,4.099,171
type,4.098,61
onions,4.097,62
immediately,4.096,52
problem,4.095,84
server,4.093,43
wouldn,4.093,86
fridge,4.091,33
stand,4.087,115
ok,4.085,212
talk,4.083,48
sit,4.078,116
couldn,4.077,104
minutes,4.071,325
hype,4.064,141
hour,4.063,158
pay,4.063,126
taking,4.06,100
old,4.057,53
fix,4.053,38
hell,4.043,47
pre,4.035,57
care,4.034,87
45,4.03,33
job,4.029,68
loud,4.028,72
12,4.02,51
gave,4.007,144
needed,4.0,89
weren,4.0,39
guy,3.986,74
takes,3.982,57
normally,3.978,45
smaller,3.978,45
soggy,3.974,39
instead,3.973,113
felt,3.97,67
chaos,3.953,43
ridiculous,3.952,62
money,3.94,84
employees,3.936,173
writing,3.932,74
unfortunately,3.93,43
giving,3.918,61
issue,3.913,46
purchase,3.905,42
turned,3.892,37
girl,3.89,82
customer,3.889,253
greasy,3.882,51
waited,3.875,96
charge,3.857,35
dry,3.828,116
healthy,3.824,34
called,3.822,90
given,3.789,71
customers,3.776,165
cold,3.754,57
standing,3.746,67
register,3.683,60
hold,3.659,41
cashier,3.635,52
asked,3.598,179
lady,3.565,62
told,3.56,207
sorry,3.552,58
understand,3.527,93
bland,3.415,41
attention,3.389,36
overrated,3.382,34
custom,3.35,40
employee,3.338,71
paid,3.333,42
phone,3.31,58
horrible,3.143,35
manager,2.581,62
